# T           n_e           n_H           n_ion         rho           FHI           FHII          mu            Losses (L)    L/(n^2)       L_5007        LHalpha       0.1-0.5keV    0.5-1.0keV    1.0-2.0keV    2.0-10.0keV
# (K)         (/cm^3)       (/cm^3)       (/cm^3)       (g/cm^3)                                  (amu)         (erg/cm^3/s)  (erg cm^3/s)  (erg cm^3/s)  (erg cm^3/s)  (fraction)    (fraction)    (fraction)    (fraction)
9.86397E+08   4.81522E-06   4.08331E-06   4.43510E-06   9.27216E-30   1.68781E-10   1.00000E+00   6.03640E-01   1.43022E-33   1.67143E-23   0.00000E+00   1.00980E-32   1.50023E-02   1.59193E-02   2.76791E-02   1.59750E-01
9.59571E+08   5.01329E-06   4.25128E-06   4.61754E-06   9.65357E-30   1.72504E-10   1.00000E+00   6.03640E-01   1.52970E-33   1.64922E-23   0.00000E+00   1.04639E-32   1.53502E-02   1.62760E-02   2.82780E-02   1.62800E-01
9.33365E+08   5.21558E-06   4.42282E-06   4.80386E-06   1.00431E-29   1.77603E-10   1.00000E+00   6.03640E-01   1.63358E-33   1.62725E-23   0.00000E+00   1.09233E-32   1.57069E-02   1.66415E-02   2.88908E-02   1.65920E-01
9.07645E+08   5.42348E-06   4.59911E-06   4.99534E-06   1.04434E-29   1.82890E-10   1.00000E+00   6.03640E-01   1.74268E-33   1.60539E-23   0.00000E+00   1.14067E-32   1.60749E-02   1.70180E-02   2.95213E-02   1.69100E-01
8.82428E+08   5.63728E-06   4.78042E-06   5.19227E-06   1.08551E-29   1.88380E-10   1.00000E+00   6.03640E-01   1.85731E-33   1.58367E-23   0.00000E+00   1.19157E-32   1.64542E-02   1.74056E-02   3.01696E-02   1.72360E-01
8.57729E+08   5.85726E-06   4.96697E-06   5.39489E-06   1.12787E-29   1.94081E-10   1.00000E+00   6.03640E-01   1.97778E-33   1.56209E-23   0.00000E+00   1.24517E-32   1.68449E-02   1.78044E-02   3.08357E-02   1.75700E-01
8.33558E+08   6.08368E-06   5.15897E-06   5.60344E-06   1.17147E-29   1.99999E-10   1.00000E+00   6.03640E-01   2.10440E-33   1.54068E-23   0.00000E+00   1.30159E-32   1.72471E-02   1.82145E-02   3.15197E-02   1.79100E-01
8.09923E+08   6.31681E-06   5.35666E-06   5.81816E-06   1.21636E-29   2.06136E-10   1.00000E+00   6.03640E-01   2.23750E-33   1.51945E-23   0.00000E+00   1.36096E-32   1.76609E-02   1.86359E-02   3.22216E-02   1.82580E-01
7.86828E+08   6.55690E-06   5.56026E-06   6.03930E-06   1.26259E-29   2.12500E-10   1.00000E+00   6.03640E-01   2.37744E-33   1.49841E-23   0.00000E+00   1.42340E-32   1.80866E-02   1.90688E-02   3.29417E-02   1.86120E-01
7.64274E+08   6.80423E-06   5.77000E-06   6.26710E-06   1.31022E-29   2.19097E-10   1.00000E+00   6.03640E-01   2.52457E-33   1.47757E-23   0.00000E+00   1.48908E-32   1.85243E-02   1.95135E-02   3.36819E-02   1.89770E-01
7.42261E+08   7.05907E-06   5.98610E-06   6.50183E-06   1.35929E-29   2.25933E-10   1.00000E+00   6.03640E-01   2.67928E-33   1.45694E-23   0.00000E+00   1.55812E-32   1.89742E-02   1.99698E-02   3.44388E-02   1.93450E-01
7.20786E+08   7.32170E-06   6.20881E-06   6.74372E-06   1.40986E-29   2.33012E-10   1.00000E+00   6.03640E-01   2.84197E-33   1.43653E-23   0.00000E+00   1.63069E-32   1.94364E-02   2.04381E-02   3.52144E-02   1.97200E-01
6.99847E+08   7.59240E-06   6.43837E-06   6.99306E-06   1.46199E-29   2.40345E-10   1.00000E+00   6.03640E-01   3.01305E-33   1.41634E-23   0.00000E+00   1.70697E-32   1.99111E-02   2.09184E-02   3.60087E-02   2.01020E-01
6.79437E+08   7.87147E-06   6.67502E-06   7.25010E-06   1.51573E-29   2.47940E-10   1.00000E+00   6.03640E-01   3.19297E-33   1.39637E-23   0.00000E+00   1.78714E-32   2.03986E-02   2.14109E-02   3.68218E-02   2.04900E-01
6.59552E+08   8.15920E-06   6.91901E-06   7.51511E-06   1.57113E-29   2.55800E-10   1.00000E+00   6.03640E-01   3.38218E-33   1.37664E-23   0.00000E+00   1.87137E-32   2.08995E-02   2.19186E-02   3.76960E-02   2.09470E-01
